fueltype;gearbox;price
benzin;manuell;1200.0
benzin;manuell;895.0
benzin;manuell;950.0
;manuell;8000.0
lpg;automatik;6799.0
benzin;manuell;500.0
benzin;automatik;11919.0
benzin;manuell;25900.0
benzin;manuell;300.0
diesel;manuell;10800.0
benzin;manuell;650.0
benzin;manuell;800.0
diesel;manuell;1690.0
benzin;manuell;3650.0
diesel;manuell;4850.0
benzin;manuell;450.0
;manuell;1450.0
diesel;manuell;4500.0
benzin;manuell;3900.0
diesel;automatik;26999.0
benzin;manuell;750.0
diesel;automatik;5900.0
diesel;automatik;56900.0
benzin;manuell;1100.0
diesel;automatik;48000.0
benzin;manuell;8400.0
benzin;manuell;1.0
benzin;manuell;800.0
diesel;automatik;27500.0
benzin;manuell;14950.0
benzin;manuell;14900.0
benzin;automatik;2950.0
;manuell;1500.0
diesel;manuell;12000.0
diesel;automatik;2500.0
benzin;;2400.0
benzin;manuell;4600.0
benzin;manuell;6000.0
diesel;manuell;8950.0
;manuell;590.0
benzin;automatik;150.0
benzin;automatik;18700.0
benzin;manuell;9500.0
diesel;automatik;11550.0
benzin;;1250.0
benzin;manuell;2400.0
benzin;manuell;16150.0
diesel;manuell;3400.0
benzin;manuell;3000.0
diesel;manuell;5500.0
diesel;manuell;2000.0
;manuell;300.0
benzin;manuell;890.0
benzin;;2390.0
benzin;;1450.0
benzin;;1699.0
diesel;manuell;2899.0
benzin;manuell;4800.0
benzin;manuell;6799.0
diesel;manuell;3400.0
benzin;manuell;2650.0
benzin;manuell;1000.0
benzin;manuell;800.0
benzin;manuell;5299.0
diesel;manuell;7150.0
;;200.0
benzin;manuell;2300.0
benzin;manuell;1600.0
benzin;;350.0
diesel;manuell;5500.0
benzin;manuell;4400.0
diesel;manuell;7950.0
benzin;manuell;16500.0
benzin;automatik;8100.0
diesel;manuell;3999.0
benzin;automatik;9750.0
diesel;manuell;7700.0
benzin;manuell;2500.0
benzin;automatik;1195.0
benzin;manuell;9790.0
benzin;manuell;1849.0
diesel;automatik;3300.0
diesel;manuell;650.0
benzin;manuell;2600.0
diesel;manuell;11700.0
benzin;manuell;600.0
benzin;manuell;4950.0
benzin;manuell;1600.0
benzin;manuell;8499.0
benzin;manuell;1650.0
benzin;manuell;1700.0
benzin;manuell;5750.0
benzin;manuell;600.0
benzin;;0.0
benzin;automatik;8700.0
diesel;automatik;1200.0
diesel;manuell;18880.0
diesel;automatik;11200.0
benzin;manuell;3550.0
benzin;manuell;3900.0
diesel;manuell;13849.0
benzin;manuell;13200.0
benzin;manuell;2500.0
benzin;manuell;2550.0
lpg;manuell;3900.0
benzin;manuell;2450.0
benzin;manuell;500.0
diesel;manuell;750.0
benzin;automatik;1799.0
;manuell;950.0
benzin;manuell;8150.0
benzin;manuell;3900.0
;manuell;5500.0
benzin;manuell;9999.0
;;1050.0
diesel;manuell;500.0
lpg;manuell;699.0
benzin;manuell;999.0
benzin;;6250.0
benzin;;10000.0
benzin;manuell;300.0
benzin;manuell;16500.0
andere;manuell;6500.0
benzin;;49500.0
benzin;manuell;1200.0
benzin;manuell;1480.0
benzin;manuell;1490.0
diesel;manuell;3200.0
diesel;manuell;3250.0
benzin;manuell;3400.0
benzin;manuell;1100.0
diesel;manuell;1750.0
diesel;automatik;3300.0
benzin;manuell;1350.0
benzin;manuell;8250.0
benzin;manuell;2500.0
diesel;automatik;3999.0
lpg;automatik;21500.0
benzin;manuell;7000.0
diesel;manuell;2950.0
benzin;manuell;4850.0
benzin;manuell;1100.0
benzin;manuell;3600.0
benzin;manuell;7750.0
benzin;manuell;2950.0
benzin;manuell;400.0
diesel;automatik;6880.0
diesel;automatik;5600.0
benzin;automatik;10550.0
benzin;;1000.0
benzin;manuell;17500.0
benzin;manuell;999.0
benzin;;3400.0
benzin;manuell;2000.0
andere;;2350.0
;manuell;6250.0
benzin;manuell;2700.0
benzin;manuell;500.0
benzin;automatik;5555.0
benzin;manuell;8450.0
benzin;manuell;2750.0
benzin;manuell;650.0
benzin;manuell;680.0
benzin;manuell;444.0
benzin;manuell;4650.0
benzin;manuell;4450.0
benzin;manuell;1999.0
diesel;manuell;9650.0
benzin;automatik;2700.0
diesel;manuell;2200.0
benzin;;1.0
;;4500.0
benzin;automatik;3850.0
diesel;automatik;15500.0
benzin;automatik;90500.0
diesel;manuell;13950.0
diesel;automatik;3400.0
benzin;automatik;11500.0
;;0.0
diesel;manuell;2800.0
benzin;manuell;120.0
benzin;automatik;1490.0
diesel;manuell;650.0
benzin;manuell;1199.0
benzin;manuell;350.0
;manuell;3200.0
lpg;manuell;4000.0
diesel;manuell;6450.0
benzin;manuell;1690.0
diesel;automatik;1750.0
benzin;automatik;2990.0
;manuell;1299.0
benzin;automatik;11000.0
benzin;manuell;1000.0
diesel;automatik;3950.0
benzin;manuell;650.0
diesel;manuell;5500.0
benzin;manuell;1299.0
;manuell;1300.0
diesel;manuell;5800.0
benzin;automatik;7600.0
benzin;automatik;13499.0
benzin;manuell;1490.0
benzin;manuell;5500.0
benzin;manuell;2350.0
diesel;manuell;3000.0
benzin;manuell;1950.0
diesel;automatik;6350.0
benzin;manuell;750.0
benzin;automatik;1500.0
benzin;manuell;8500.0
;automatik;4300.0
benzin;manuell;850.0
benzin;manuell;6700.0
diesel;manuell;29980.0
benzin;manuell;2238.0
benzin;manuell;250.0
benzin;manuell;3350.0
diesel;manuell;2000.0
diesel;manuell;14500.0
benzin;manuell;4199.0
benzin;manuell;6999.0
benzin;manuell;4490.0
diesel;automatik;43900.0
benzin;manuell;21950.0
benzin;manuell;1200.0
diesel;automatik;8100.0
benzin;manuell;12650.0
benzin;manuell;2400.0
;manuell;5250.0
benzin;;350.0
benzin;manuell;14500.0
benzin;manuell;1950.0
diesel;automatik;0.0
benzin;automatik;24900.0
diesel;manuell;4300.0
benzin;;2250.0
diesel;manuell;10550.0
benzin;manuell;200.0
;;0.0
benzin;manuell;11500.0
diesel;manuell;890.0
diesel;automatik;20500.0
benzin;manuell;2990.0
diesel;manuell;9600.0
benzin;manuell;1099.0
benzin;manuell;1700.0
;manuell;0.0
diesel;manuell;4760.0
diesel;manuell;16500.0
benzin;manuell;5300.0
benzin;automatik;3555.0
benzin;manuell;350.0
diesel;manuell;19900.0
diesel;automatik;15200.0
benzin;manuell;700.0
benzin;manuell;550.0
diesel;manuell;8700.0
benzin;manuell;6990.0
benzin;manuell;5500.0
benzin;manuell;1650.0
diesel;manuell;7900.0
benzin;manuell;4290.0
benzin;manuell;14650.0
benzin;manuell;3299.0
benzin;manuell;6500.0
benzin;manuell;600.0
benzin;manuell;5800.0
benzin;manuell;1600.0
benzin;automatik;8000.0
benzin;manuell;700.0
;;1250.0
diesel;automatik;27500.0
diesel;manuell;6500.0
;automatik;899.0
diesel;manuell;2790.0
benzin;manuell;2390.0
benzin;automatik;9900.0
diesel;manuell;6500.0
benzin;manuell;1450.0
diesel;manuell;3600.0
benzin;automatik;2295.0
diesel;manuell;1699.0
benzin;manuell;4400.0
benzin;manuell;950.0
benzin;manuell;500.0
benzin;manuell;800.0
benzin;manuell;1250.0
diesel;automatik;2700.0
benzin;manuell;3250.0
diesel;automatik;13500.0
benzin;manuell;4999.0
benzin;manuell;18300.0
;;0.0
benzin;manuell;1000.0
;manuell;0.0
benzin;manuell;36500.0
benzin;manuell;2700.0
benzin;manuell;4990.0
;manuell;150.0
lpg;manuell;6800.0
benzin;automatik;30900.0
benzin;manuell;2999.0
benzin;manuell;1500.0
;automatik;4600.0
benzin;automatik;6500.0
diesel;automatik;28900.0
benzin;manuell;1900.0
benzin;manuell;4900.0
diesel;manuell;10490.0
diesel;automatik;28499.0
benzin;manuell;2100.0
lpg;manuell;3999.0
;;2600.0
benzin;manuell;1350.0
benzin;manuell;600.0
diesel;manuell;4550.0
diesel;manuell;800.0
diesel;automatik;11500.0
diesel;manuell;5000.0
diesel;manuell;2400.0
benzin;manuell;4800.0
benzin;manuell;3250.0
benzin;manuell;200.0
diesel;manuell;11800.0
diesel;;2800.0
diesel;automatik;3500.0
;;50.0
diesel;manuell;9499.0
benzin;manuell;3500.0
benzin;manuell;1999.0
benzin;manuell;1500.0
benzin;automatik;400.0
diesel;manuell;12950.0
benzin;manuell;2150.0
benzin;manuell;4999.0
benzin;automatik;5200.0
benzin;manuell;8200.0
benzin;automatik;0.0
benzin;manuell;9099.0
benzin;manuell;8200.0
benzin;manuell;2000.0
benzin;manuell;750.0
;;2099.0
;manuell;150.0
benzin;manuell;1190.0
benzin;manuell;1200.0
benzin;manuell;3000.0
benzin;manuell;1150.0
diesel;automatik;13980.0
diesel;manuell;6499.0
;automatik;3499.0
benzin;manuell;0.0
diesel;automatik;8850.0
diesel;manuell;4000.0
benzin;manuell;0.0
diesel;;3200.0
diesel;manuell;1990.0
;manuell;150.0
diesel;manuell;7199.0
diesel;automatik;16299.0
benzin;manuell;1999.0
benzin;manuell;1500.0
benzin;manuell;3800.0
diesel;manuell;9990.0
diesel;manuell;13800.0
benzin;manuell;0.0
benzin;automatik;2150.0
diesel;manuell;2500.0
diesel;manuell;15750.0
benzin;manuell;990.0
benzin;manuell;700.0
benzin;manuell;750.0
benzin;manuell;8500.0
;manuell;12000.0
benzin;automatik;11800.0
diesel;manuell;2700.0
diesel;manuell;1650.0
benzin;manuell;999.0
diesel;automatik;21500.0
benzin;manuell;3800.0
benzin;manuell;800.0
diesel;automatik;11900.0
benzin;;1500.0
diesel;manuell;450.0
;manuell;1100.0
benzin;automatik;2100.0
benzin;manuell;5350.0
diesel;automatik;6000.0
;manuell;1899.0
diesel;manuell;2000.0
benzin;automatik;41900.0
benzin;automatik;5990.0
diesel;manuell;4499.0
benzin;manuell;1600.0
;automatik;2999.0
diesel;automatik;7800.0
lpg;manuell;2900.0
diesel;automatik;1999.0
benzin;manuell;8799.0
benzin;manuell;970.0
diesel;manuell;1599.0
benzin;manuell;750.0
benzin;manuell;1000.0
benzin;manuell;10500.0
benzin;manuell;5900.0
benzin;manuell;12000.0
;automatik;7400.0
benzin;manuell;1698.0
benzin;manuell;1850.0
benzin;manuell;7990.0
diesel;manuell;4500.0
benzin;manuell;1480.0
diesel;manuell;8450.0
;manuell;1650.0
benzin;manuell;3700.0
diesel;manuell;14800.0
diesel;automatik;5000.0
benzin;manuell;21000.0
benzin;manuell;7500.0
benzin;manuell;14750.0
;automatik;2200.0
;automatik;10100.0
diesel;manuell;1750.0
benzin;automatik;2250.0
diesel;manuell;15500.0
benzin;manuell;1900.0
;;15000.0
benzin;manuell;2300.0
diesel;;2300.0
benzin;automatik;12999.0
benzin;automatik;24800.0
diesel;automatik;7800.0
benzin;manuell;6200.0
diesel;manuell;5300.0
benzin;manuell;1849.0
benzin;manuell;1800.0
benzin;manuell;2100.0
lpg;automatik;9900.0
benzin;manuell;1700.0
;;950.0
benzin;manuell;800.0
benzin;automatik;500.0
benzin;manuell;11850.0
benzin;manuell;890.0
;;250.0
diesel;manuell;5900.0
benzin;manuell;600.0
diesel;manuell;2500.0
benzin;automatik;1299.0
benzin;automatik;750.0
diesel;manuell;4500.0
benzin;manuell;4000.0
benzin;manuell;950.0
benzin;manuell;3900.0
benzin;manuell;4200.0
diesel;manuell;5950.0
diesel;manuell;2650.0
diesel;manuell;9500.0
benzin;manuell;9250.0
benzin;manuell;850.0
diesel;automatik;2990.0
diesel;manuell;16000.0
benzin;manuell;499.0
benzin;manuell;2500.0
benzin;manuell;3499.0
benzin;manuell;5500.0
diesel;manuell;400.0
benzin;automatik;1699.0
benzin;manuell;2400.0
benzin;automatik;2999.0
benzin;automatik;13800.0
;;1100.0
;;1200.0
;;6200.0
benzin;manuell;3450.0
diesel;;3500.0
benzin;automatik;7500.0
benzin;automatik;6999.0
diesel;manuell;11000.0
benzin;manuell;2100.0
diesel;manuell;3999.0
benzin;manuell;13900.0
benzin;manuell;550.0
benzin;automatik;1690.0
benzin;manuell;250.0
;;480.0
benzin;manuell;3200.0
benzin;automatik;11500.0
benzin;manuell;11540.0
benzin;manuell;13199.0
benzin;automatik;12790.0
benzin;manuell;600.0
benzin;manuell;2500.0
benzin;manuell;13750.0
diesel;manuell;8200.0
diesel;manuell;3000.0
benzin;automatik;2300.0
diesel;automatik;21999.0
diesel;automatik;24999.0
benzin;manuell;550.0
benzin;manuell;2350.0
benzin;manuell;1750.0
diesel;manuell;28300.0
diesel;manuell;14900.0
diesel;manuell;12800.0
benzin;manuell;1800.0
;manuell;150.0
diesel;automatik;20200.0
;manuell;3100.0
benzin;automatik;5500.0
;manuell;5000.0
benzin;manuell;0.0
benzin;manuell;480.0
benzin;manuell;1800.0
;manuell;350.0
benzin;manuell;10490.0
diesel;manuell;37990.0
diesel;manuell;3800.0
diesel;manuell;1290.0
benzin;manuell;1200.0
benzin;manuell;10999.0
benzin;manuell;13900.0
lpg;manuell;2000.0
benzin;manuell;5600.0
benzin;manuell;18000.0
benzin;manuell;5300.0
diesel;automatik;13500.0
benzin;manuell;2850.0
;manuell;4900.0
benzin;manuell;3850.0
benzin;manuell;800.0
benzin;manuell;6490.0
diesel;manuell;4550.0
benzin;manuell;9000.0
benzin;manuell;2250.0
benzin;manuell;350.0
diesel;manuell;8400.0
diesel;manuell;7490.0
diesel;automatik;3250.0
diesel;automatik;2500.0
benzin;manuell;699.0
benzin;manuell;450.0
diesel;automatik;47999.0
;manuell;13500.0
diesel;manuell;9500.0
benzin;manuell;1200.0
diesel;automatik;12990.0
benzin;manuell;700.0
diesel;manuell;2750.0
diesel;automatik;15900.0
benzin;manuell;13499.0
benzin;manuell;1300.0
benzin;manuell;330.0
benzin;manuell;7990.0
benzin;manuell;550.0
benzin;manuell;999.0
benzin;manuell;950.0
benzin;manuell;4699.0
diesel;automatik;3500.0
benzin;manuell;3500.0
benzin;manuell;5997.0
benzin;manuell;2200.0
benzin;manuell;999.0
benzin;manuell;1200.0
benzin;manuell;180.0
benzin;manuell;999.0
benzin;manuell;1200.0
lpg;manuell;5500.0
benzin;automatik;5250.0
diesel;manuell;9000.0
benzin;manuell;4600.0
diesel;automatik;2500.0
benzin;automatik;200.0
benzin;;0.0
benzin;automatik;2799.0
diesel;manuell;9600.0
benzin;manuell;1600.0
benzin;manuell;5999.0
diesel;;2200.0
benzin;manuell;2500.0
benzin;manuell;7600.0
benzin;manuell;7499.0
benzin;manuell;1100.0
benzin;manuell;890.0
benzin;manuell;1099.0
diesel;manuell;3999.0
benzin;manuell;4999.0
benzin;manuell;250.0
benzin;manuell;2799.0
benzin;manuell;1200.0
benzin;automatik;3299.0
benzin;manuell;4799.0
benzin;automatik;3999.0
benzin;manuell;34900.0
benzin;manuell;650.0
diesel;manuell;8800.0
benzin;automatik;2000.0
benzin;manuell;12800.0
benzin;manuell;398.0
benzin;manuell;2700.0
benzin;manuell;6999.0
benzin;automatik;4000.0
benzin;manuell;2190.0
benzin;automatik;7450.0
diesel;manuell;1850.0
benzin;manuell;9450.0
diesel;manuell;2999.0
;manuell;3950.0
benzin;manuell;4800.0
benzin;manuell;1670.0
benzin;manuell;1800.0
benzin;manuell;5299.0
benzin;manuell;0.0
benzin;automatik;3750.0
benzin;manuell;750.0
benzin;manuell;4200.0
benzin;manuell;2549.0
benzin;manuell;8380.0
diesel;manuell;8000.0
benzin;manuell;2599.0
benzin;manuell;600.0
diesel;manuell;2650.0
diesel;automatik;6800.0
benzin;manuell;2410.0
diesel;automatik;14900.0
diesel;manuell;2100.0
;manuell;300.0
benzin;manuell;3500.0
benzin;manuell;2250.0
benzin;manuell;500.0
diesel;manuell;10200.0
benzin;automatik;2800.0
benzin;manuell;1500.0
benzin;manuell;550.0
diesel;manuell;1320.0
diesel;automatik;7500.0
benzin;automatik;7000.0
benzin;manuell;899.0
benzin;automatik;4800.0
diesel;automatik;16500.0
benzin;manuell;11200.0
benzin;automatik;43900.0
benzin;manuell;1000.0
diesel;automatik;21500.0
benzin;manuell;250.0
diesel;manuell;0.0
diesel;automatik;11500.0
benzin;automatik;1499.0
benzin;manuell;380.0
diesel;manuell;14990.0
benzin;manuell;500.0
diesel;automatik;5900.0
;manuell;5499.0
benzin;manuell;200.0
diesel;manuell;2000.0
benzin;manuell;300.0
diesel;automatik;2999.0
benzin;automatik;20500.0
diesel;manuell;12999.0
diesel;manuell;7000.0
diesel;manuell;5300.0
benzin;manuell;1250.0
benzin;manuell;1800.0
benzin;manuell;7900.0
benzin;manuell;2998.0
benzin;;800.0
benzin;manuell;350.0
diesel;manuell;8790.0
diesel;automatik;4499.0
benzin;manuell;3900.0
diesel;manuell;25950.0
diesel;manuell;5900.0
benzin;manuell;1500.0
diesel;manuell;12900.0
benzin;manuell;1199.0
benzin;manuell;14800.0
benzin;manuell;250.0
diesel;manuell;2499.0
benzin;manuell;1800.0
diesel;;0.0
benzin;manuell;2800.0
diesel;manuell;4200.0
diesel;manuell;5500.0
diesel;manuell;850.0
diesel;automatik;4100.0
benzin;manuell;5900.0
diesel;manuell;1600.0
diesel;manuell;9600.0
benzin;manuell;2799.0
diesel;manuell;7100.0
;manuell;1.0
diesel;manuell;4500.0
benzin;manuell;650.0
diesel;manuell;6800.0
benzin;manuell;1450.0
benzin;manuell;2300.0
;manuell;250.0
benzin;automatik;2500.0
diesel;manuell;1099.0
benzin;manuell;3999.0
benzin;automatik;3500.0
diesel;manuell;44900.0
diesel;manuell;2399.0
benzin;manuell;2600.0
diesel;manuell;1950.0
benzin;manuell;10450.0
diesel;manuell;3100.0
benzin;manuell;14000.0
benzin;manuell;190.0
diesel;manuell;17000.0
diesel;manuell;11599.0
;manuell;9800.0
benzin;manuell;1690.0
diesel;automatik;30600.0
benzin;manuell;140.0
benzin;automatik;5990.0
;manuell;1300.0
benzin;manuell;1000.0
diesel;manuell;11900.0
benzin;manuell;1400.0
benzin;manuell;1450.0
benzin;manuell;2000.0
benzin;manuell;1599.0
benzin;manuell;4700.0
diesel;manuell;1400.0
benzin;manuell;1100.0
benzin;automatik;6990.0
;;650.0
benzin;manuell;1400.0
diesel;;16700.0
;manuell;2000.0
benzin;manuell;3300.0
benzin;manuell;1400.0
benzin;manuell;98.0
benzin;manuell;14000.0
benzin;manuell;3800.0
benzin;manuell;790.0
diesel;manuell;1450.0
diesel;manuell;5500.0
benzin;manuell;150.0
benzin;manuell;0.0
diesel;manuell;3650.0
benzin;manuell;500.0
benzin;manuell;1999.0
benzin;manuell;139997.0
benzin;automatik;3999.0
diesel;automatik;2600.0
benzin;manuell;1500.0
diesel;manuell;5600.0
;manuell;6500.0
diesel;automatik;9500.0
;manuell;1799.0
benzin;automatik;26500.0
benzin;manuell;710.0
;manuell;999.0
benzin;manuell;7890.0
;;250.0
benzin;manuell;100.0
benzin;automatik;1000.0
benzin;manuell;130.0
benzin;manuell;1.0
benzin;manuell;14500.0
;;0.0
benzin;manuell;13990.0
diesel;automatik;46950.0
benzin;manuell;9490.0
diesel;automatik;6700.0
diesel;manuell;2990.0
benzin;automatik;4500.0
diesel;automatik;12000.0
benzin;manuell;16999.0
benzin;;2000.0
diesel;automatik;10100.0
diesel;;3100.0
diesel;manuell;13200.0
benzin;automatik;2900.0
benzin;manuell;1250.0
benzin;manuell;200.0
benzin;manuell;1990.0
benzin;manuell;500.0
benzin;manuell;0.0
benzin;manuell;13500.0
;manuell;1150.0
diesel;automatik;8999.0
diesel;manuell;14000.0
diesel;manuell;1385.0
benzin;manuell;999.0
diesel;manuell;14430.0
benzin;manuell;650.0
benzin;manuell;1000.0
benzin;manuell;3000.0
diesel;automatik;3800.0
diesel;manuell;14900.0
benzin;manuell;3900.0
benzin;automatik;3200.0
benzin;manuell;150.0
benzin;manuell;0.0
benzin;manuell;5699.0
benzin;manuell;4950.0
benzin;manuell;700.0
benzin;manuell;4590.0
benzin;manuell;6900.0
benzin;automatik;4000.0
benzin;automatik;10900.0
benzin;manuell;600.0
benzin;;300.0
diesel;manuell;1250.0
benzin;manuell;750.0
benzin;manuell;5800.0
benzin;manuell;750.0
benzin;manuell;6000.0
benzin;manuell;500.0
benzin;manuell;5990.0
benzin;manuell;800.0
benzin;manuell;4250.0
;manuell;7000.0
;manuell;8500.0
;;6500.0
benzin;manuell;2850.0
;manuell;3.0
benzin;manuell;9200.0
benzin;manuell;2800.0
benzin;manuell;1200.0
benzin;manuell;4750.0
benzin;manuell;28250.0
benzin;automatik;7400.0
benzin;manuell;1600.0
benzin;automatik;0.0
benzin;manuell;390.0
benzin;manuell;0.0
diesel;manuell;3300.0
benzin;manuell;4250.0
benzin;automatik;4000.0
;manuell;4200.0
benzin;manuell;12800.0
diesel;manuell;18500.0
;manuell;1600.0
benzin;manuell;300.0
diesel;automatik;3280.0
benzin;automatik;12950.0
diesel;manuell;2500.0
benzin;manuell;1450.0
benzin;manuell;500.0
benzin;manuell;3200.0
benzin;manuell;1200.0
benzin;manuell;4800.0
diesel;manuell;11890.0
benzin;manuell;2800.0
benzin;;140.0
benzin;manuell;21800.0
diesel;manuell;1450.0
diesel;manuell;750.0
benzin;manuell;2200.0
benzin;manuell;11000.0
benzin;manuell;2800.0
benzin;manuell;9950.0
;manuell;1800.0
lpg;automatik;4200.0
benzin;manuell;550.0
benzin;;5000.0
;automatik;3200.0
benzin;manuell;1250.0
;manuell;2250.0
benzin;manuell;400.0
benzin;;700.0
diesel;automatik;15900.0
diesel;automatik;5400.0
benzin;manuell;4499.0
benzin;automatik;17000.0
benzin;manuell;7350.0
diesel;manuell;15900.0
benzin;manuell;23000.0
hybrid;automatik;5750.0
;;45.0
benzin;manuell;777.0
benzin;manuell;1500.0
benzin;manuell;9300.0
diesel;automatik;29700.0
benzin;manuell;4300.0
benzin;manuell;3700.0
benzin;manuell;2699.0
;manuell;2200.0
;manuell;1400.0
benzin;manuell;3200.0
;manuell;200.0
;manuell;2800.0
diesel;automatik;31500.0
