vehicletype;price
;1100.0
kombi;1200.0
kleinwagen;6200.0
kleinwagen;3450.0
;3500.0
coupe;7500.0
limousine;6999.0
kombi;11000.0
kleinwagen;2100.0
kombi;3999.0
cabrio;13900.0
coupe;550.0
kleinwagen;1690.0
kleinwagen;250.0
;480.0
kleinwagen;3200.0
limousine;11500.0
coupe;11540.0
cabrio;13199.0
cabrio;12790.0
limousine;600.0
kombi;2500.0
kombi;13750.0
kleinwagen;8200.0
bus;3000.0
limousine;2300.0
limousine;21999.0
kombi;24999.0
kleinwagen;550.0
kombi;2350.0
cabrio;1750.0
bus;28300.0
kombi;14900.0
limousine;12800.0
kleinwagen;1800.0
kleinwagen;150.0
kombi;20200.0
limousine;3100.0
limousine;5500.0
limousine;5000.0
kleinwagen;0.0
kleinwagen;480.0
limousine;1800.0
limousine;350.0
kleinwagen;10490.0
bus;37990.0
bus;3800.0
bus;1290.0
limousine;1200.0
kleinwagen;10999.0
kleinwagen;13900.0
limousine;2000.0
coupe;5600.0
cabrio;18000.0
bus;5300.0
limousine;13500.0
limousine;2850.0
;4900.0
cabrio;3850.0
kombi;800.0
limousine;6490.0
limousine;4550.0
;9000.0
kleinwagen;2250.0
kleinwagen;350.0
;8400.0
kleinwagen;7490.0
bus;3250.0
kombi;2500.0
limousine;699.0
;450.0
cabrio;47999.0
bus;13500.0
bus;9500.0
;1200.0
limousine;12990.0
kleinwagen;700.0
suv;2750.0
bus;15900.0
limousine;13499.0
kombi;1300.0
kleinwagen;330.0
kombi;7990.0
kleinwagen;550.0
limousine;999.0
coupe;950.0
limousine;4699.0
kombi;3500.0
;3500.0
bus;5997.0
bus;2200.0
limousine;999.0
kombi;1200.0
coupe;180.0
kombi;999.0
kleinwagen;1200.0
bus;5500.0
cabrio;5250.0
limousine;9000.0
kleinwagen;4600.0
kombi;2500.0
kleinwagen;200.0
;0.0
cabrio;2799.0
kombi;9600.0
andere;1600.0
kleinwagen;5999.0
limousine;2200.0
kleinwagen;2500.0
coupe;7600.0
cabrio;7499.0
limousine;1100.0
limousine;890.0
limousine;1099.0
kombi;3999.0
kleinwagen;4999.0
;250.0
kleinwagen;2799.0
limousine;1200.0
limousine;3299.0
;4799.0
kombi;3999.0
limousine;34900.0
limousine;650.0
kombi;8800.0
limousine;2000.0
kombi;12800.0
kombi;398.0
limousine;2700.0
coupe;6999.0
limousine;4000.0
limousine;2190.0
cabrio;7450.0
kleinwagen;1850.0
limousine;9450.0
kombi;2999.0
;3950.0
kleinwagen;4800.0
limousine;1670.0
kombi;1800.0
kleinwagen;5299.0
;0.0
limousine;3750.0
kombi;750.0
limousine;4200.0
andere;2549.0
kombi;8380.0
suv;8000.0
limousine;2599.0
;600.0
kombi;2650.0
limousine;6800.0
kleinwagen;2410.0
kombi;14900.0
kombi;2100.0
kleinwagen;300.0
cabrio;3500.0
kombi;2250.0
kleinwagen;500.0
limousine;10200.0
kleinwagen;2800.0
limousine;1500.0
limousine;550.0
kombi;1320.0
limousine;7500.0
limousine;7000.0
limousine;899.0
;4800.0
bus;16500.0
kleinwagen;11200.0
cabrio;43900.0
coupe;1000.0
coupe;21500.0
limousine;250.0
kombi;0.0
limousine;11500.0
kleinwagen;1499.0
;380.0
kombi;14990.0
kombi;500.0
kombi;5900.0
;5499.0
limousine;200.0
kleinwagen;2000.0
;300.0
;2999.0
limousine;20500.0
bus;12999.0
kombi;7000.0
bus;5300.0
cabrio;1250.0
;1800.0
suv;7900.0
coupe;2998.0
limousine;800.0
kleinwagen;350.0
;8790.0
limousine;4499.0
cabrio;3900.0
suv;25950.0
bus;5900.0
kombi;1500.0
kombi;12900.0
kleinwagen;1199.0
limousine;14800.0
kleinwagen;250.0
kleinwagen;2499.0
coupe;1800.0
;0.0
kleinwagen;2800.0
kombi;4200.0
limousine;5500.0
kombi;850.0
kombi;4100.0
kleinwagen;5900.0
kleinwagen;1600.0
andere;9600.0
limousine;2799.0
coupe;7100.0
;1.0
limousine;4500.0
limousine;650.0
bus;6800.0
;1450.0
kleinwagen;2300.0
kleinwagen;250.0
kombi;2500.0
kleinwagen;1099.0
kleinwagen;3999.0
limousine;3500.0
bus;44900.0
kleinwagen;2399.0
bus;2600.0
bus;1950.0
cabrio;10450.0
andere;3100.0
cabrio;14000.0
kleinwagen;190.0
limousine;17000.0
kombi;11599.0
kombi;9800.0
kleinwagen;1690.0
cabrio;30600.0
coupe;140.0
limousine;5990.0
kombi;1300.0
bus;1000.0
limousine;11900.0
limousine;1400.0
kleinwagen;1450.0
;2000.0
;1599.0
cabrio;4700.0
andere;1400.0
bus;1100.0
limousine;6990.0
kleinwagen;650.0
kleinwagen;1400.0
kombi;16700.0
kleinwagen;2000.0
kombi;3300.0
kombi;1400.0
kleinwagen;98.0
kombi;14000.0
kombi;3800.0
kleinwagen;790.0
bus;1450.0
bus;5500.0
;150.0
kleinwagen;0.0
bus;3650.0
limousine;500.0
cabrio;1999.0
coupe;139997.0
cabrio;3999.0
;2600.0
coupe;1500.0
kombi;5600.0
bus;6500.0
kombi;9500.0
kleinwagen;1799.0
coupe;26500.0
kleinwagen;710.0
;999.0
limousine;7890.0
;250.0
kombi;100.0
kombi;1000.0
kleinwagen;130.0
kombi;1.0
cabrio;14500.0
;0.0
kombi;13990.0
suv;46950.0
limousine;9490.0
limousine;6700.0
limousine;2990.0
limousine;4500.0
limousine;12000.0
kleinwagen;16999.0
;2000.0
suv;10100.0
kombi;3100.0
kombi;13200.0
limousine;2900.0
kombi;1250.0
kleinwagen;200.0
kleinwagen;1990.0
limousine;500.0
kleinwagen;0.0
bus;13500.0
;1150.0
kombi;8999.0
limousine;14000.0
kombi;1385.0
kleinwagen;999.0
kombi;14430.0
kleinwagen;650.0
kleinwagen;1000.0
limousine;3000.0
kombi;3800.0
kombi;14900.0
kombi;3900.0
suv;3200.0
kleinwagen;150.0
kleinwagen;0.0
cabrio;5699.0
kombi;4950.0
limousine;700.0
limousine;4590.0
cabrio;6900.0
limousine;4000.0
kleinwagen;10900.0
limousine;600.0
limousine;300.0
kleinwagen;1250.0
kombi;750.0
cabrio;5800.0
kleinwagen;750.0
coupe;6000.0
kleinwagen;500.0
kleinwagen;5990.0
coupe;800.0
kombi;4250.0
;7000.0
;8500.0
andere;6500.0
limousine;2850.0
cabrio;3.0
;9200.0
kleinwagen;2800.0
limousine;1200.0
cabrio;4750.0
limousine;28250.0
kombi;7400.0
limousine;1600.0
kleinwagen;0.0
kleinwagen;390.0
limousine;0.0
bus;3300.0
kleinwagen;4250.0
cabrio;4000.0
coupe;4200.0
kleinwagen;12800.0
kombi;18500.0
limousine;1600.0
kleinwagen;300.0
limousine;3280.0
kombi;12950.0
;2500.0
kleinwagen;1450.0
limousine;500.0
kleinwagen;3200.0
bus;1200.0
coupe;4800.0
bus;11890.0
limousine;2800.0
kleinwagen;140.0
coupe;21800.0
kombi;1450.0
andere;750.0
limousine;2200.0
cabrio;11000.0
kleinwagen;2800.0
;9950.0
;1800.0
suv;4200.0
kombi;550.0
kleinwagen;5000.0
limousine;3200.0
kleinwagen;1250.0
;2250.0
kleinwagen;400.0
;700.0
kombi;15900.0
;5400.0
limousine;4499.0
cabrio;17000.0
cabrio;7350.0
kombi;15900.0
limousine;23000.0
limousine;5750.0
;45.0
kleinwagen;777.0
kleinwagen;1500.0
bus;9300.0
bus;29700.0
coupe;4300.0
kombi;3700.0
cabrio;2699.0
limousine;2200.0
kleinwagen;1400.0
kleinwagen;3200.0
;200.0
kleinwagen;2800.0
limousine;31500.0
kombi;599.0
kleinwagen;5500.0
kombi;6990.0
cabrio;4900.0
limousine;400.0
andere;4500.0
;950.0
kombi;1799.0
;3000.0
limousine;800.0
bus;11500.0
limousine;3999.0
kombi;9100.0
limousine;2000.0
limousine;1400.0
kombi;5900.0
cabrio;849.0
kleinwagen;2300.0
limousine;9200.0
kleinwagen;1700.0
coupe;11500.0
limousine;1700.0
cabrio;12990.0
kleinwagen;5799.0
kombi;4000.0
kleinwagen;500.0
suv;0.0
kleinwagen;1850.0
;25000.0
;4000.0
kleinwagen;950.0
kombi;4600.0
limousine;6900.0
cabrio;3950.0
kleinwagen;599.0
limousine;12900.0
kleinwagen;3500.0
limousine;1799.0
kleinwagen;8500.0
kombi;1399.0
kleinwagen;1790.0
kombi;1000.0
cabrio;5500.0
kleinwagen;5400.0
coupe;7350.0
andere;0.0
limousine;15990.0
;9500.0
limousine;7999.0
andere;5950.0
kombi;5699.0
kleinwagen;800.0
;1190.0
coupe;24400.0
kleinwagen;1212.0
limousine;2590.0
bus;0.0
coupe;5400.0
;3800.0
limousine;6600.0
kleinwagen;1000.0
;3000.0
kleinwagen;2400.0
suv;9999.0
limousine;1700.0
bus;5100.0
kombi;15000.0
cabrio;5400.0
kombi;1650.0
kombi;700.0
bus;1995.0
limousine;750.0
cabrio;3200.0
;120.0
limousine;1800.0
cabrio;7450.0
cabrio;15490.0
limousine;16400.0
limousine;17700.0
limousine;2400.0
kombi;490.0
coupe;700.0
;999.0
kleinwagen;550.0
limousine;3800.0
bus;1799.0
;4600.0
limousine;1650.0
limousine;1890.0
kleinwagen;1000.0
limousine;0.0
kleinwagen;600.0
kombi;1900.0
;600.0
suv;16960.0
;250.0
kombi;6250.0
suv;26500.0
bus;7900.0
;250.0
suv;5300.0
limousine;7500.0
coupe;14400.0
kleinwagen;2100.0
limousine;400.0
kleinwagen;249.0
;350.0
;600.0
kombi;7150.0
kombi;20900.0
suv;3400.0
limousine;5800.0
kombi;5500.0
limousine;11990.0
coupe;25345.0
kleinwagen;4950.0
bus;17800.0
kleinwagen;888.0
kleinwagen;555.0
limousine;10900.0
;2349.0
kleinwagen;3550.0
limousine;12500.0
limousine;1650.0
limousine;13000.0
limousine;7900.0
limousine;2200.0
kleinwagen;850.0
;1500.0
kombi;3300.0
limousine;2500.0
kombi;450.0
limousine;6300.0
limousine;10000.0
limousine;950.0
suv;9000.0
;1300.0
limousine;1390.0
kombi;4200.0
kleinwagen;9299.0
cabrio;6399.0
limousine;8500.0
limousine;1900.0
kleinwagen;5600.0
cabrio;3300.0
kleinwagen;1350.0
kombi;51000.0
limousine;3000.0
kombi;2100.0
limousine;10900.0
kleinwagen;6299.0
kombi;18500.0
kombi;1300.0
coupe;4200.0
kleinwagen;4450.0
;1200.0
bus;7777.0
bus;2000.0
limousine;4200.0
suv;2800.0
limousine;10999.0
kombi;1999.0
kombi;3999.0
kombi;6490.0
coupe;4490.0
limousine;6050.0
limousine;1.0
suv;50950.0
bus;7299.0
limousine;5500.0
limousine;1500.0
kleinwagen;350.0
kleinwagen;800.0
limousine;1199.0
limousine;6199.0
bus;4900.0
kleinwagen;4000.0
bus;3050.0
limousine;8350.0
limousine;450.0
limousine;1400.0
cabrio;12400.0
kombi;8900.0
kombi;12900.0
kleinwagen;799.0
coupe;20990.0
kombi;3700.0
bus;5500.0
kleinwagen;2350.0
cabrio;5200.0
bus;6800.0
kombi;700.0
kombi;1550.0
kleinwagen;850.0
limousine;11000.0
suv;9700.0
cabrio;3999.0
kombi;7500.0
;2000.0
kleinwagen;600.0
limousine;3950.0
;1800.0
limousine;33499.0
kombi;2001.0
coupe;24750.0
kleinwagen;2650.0
kleinwagen;4450.0
limousine;8000.0
coupe;14499.0
kleinwagen;1780.0
kombi;5100.0
kleinwagen;0.0
kombi;0.0
;1900.0
kombi;1500.0
kleinwagen;5750.0
suv;15700.0
coupe;7924.0
limousine;4950.0
bus;0.0
limousine;12990.0
limousine;3999.0
;1500.0
kleinwagen;0.0
suv;42500.0
kleinwagen;1000.0
kleinwagen;2699.0
kleinwagen;2490.0
;450.0
limousine;2500.0
kombi;5450.0
kombi;350.0
limousine;5200.0
;1199.0
;1500.0
kombi;3500.0
limousine;1850.0
bus;6750.0
bus;4500.0
kombi;14990.0
kombi;1900.0
kombi;1800.0
limousine;12500.0
bus;23950.0
kleinwagen;1100.0
coupe;42900.0
kleinwagen;980.0
limousine;18600.0
;200.0
kombi;8900.0
cabrio;10500.0
limousine;1550.0
limousine;5200.0
kleinwagen;1100.0
coupe;2950.0
;30.0
;2350.0
limousine;4900.0
kombi;2500.0
limousine;4990.0
cabrio;550.0
cabrio;390.0
kombi;1600.0
limousine;2500.0
kleinwagen;2250.0
kombi;1500.0
coupe;0.0
kleinwagen;3550.0
limousine;7100.0
kleinwagen;500.0
kombi;2000.0
coupe;3999.0
limousine;1300.0
limousine;999.0
;280.0
bus;5999.0
cabrio;690.0
coupe;25000.0
kleinwagen;850.0
kombi;450.0
;3450.0
limousine;9599.0
bus;25900.0
limousine;1999.0
limousine;2800.0
kleinwagen;1350.0
kleinwagen;560.0
kleinwagen;800.0
kleinwagen;6940.0
limousine;1300.0
kombi;1450.0
limousine;3500.0
coupe;1200.0
limousine;3250.0
coupe;35911.0
coupe;5299.0
bus;3500.0
bus;2800.0
suv;5800.0
limousine;13490.0
kleinwagen;650.0
coupe;27300.0
kombi;2400.0
kleinwagen;4900.0
limousine;5790.0
kleinwagen;7000.0
limousine;4700.0
limousine;899.0
limousine;1800.0
kombi;1450.0
coupe;2600.0
limousine;14990.0
suv;2700.0
coupe;5200.0
cabrio;3200.0
limousine;20000.0
cabrio;36890.0
limousine;0.0
limousine;1600.0
limousine;6799.0
kombi;1200.0
kombi;400.0
limousine;199.0
;7500.0
kleinwagen;2199.0
bus;1500.0
limousine;3299.0
kleinwagen;1200.0
kleinwagen;750.0
;2200.0
limousine;1099.0
kleinwagen;3500.0
kleinwagen;1150.0
kleinwagen;1300.0
;650.0
coupe;4000.0
coupe;14500.0
kleinwagen;3599.0
;300.0
;3500.0
kombi;999.0
cabrio;3590.0
limousine;2250.0
;1.0
kleinwagen;4200.0
limousine;500.0
;5000.0
bus;900.0
kombi;1900.0
;135.0
limousine;18999.0
kleinwagen;850.0
bus;1490.0
kleinwagen;799.0
kleinwagen;400.0
limousine;8150.0
coupe;1499.0
limousine;1740.0
coupe;7999.0
kleinwagen;5350.0
bus;13450.0
kombi;3800.0
limousine;2800.0
kleinwagen;1700.0
bus;10999.0
limousine;999.0
andere;850.0
kleinwagen;8900.0
;8599.0
kleinwagen;1100.0
kombi;8000.0
limousine;5595.0
cabrio;2000.0
;400.0
kombi;7500.0
coupe;4900.0
kombi;4999.0
limousine;11000.0
kleinwagen;7550.0
kombi;2300.0
cabrio;8900.0
limousine;7980.0
limousine;18000.0
kombi;400.0
kombi;14300.0
kombi;2300.0
kleinwagen;6400.0
limousine;20000.0
kombi;4499.0
kombi;728.0
limousine;2400.0
bus;24000.0
kombi;15900.0
kleinwagen;300.0
coupe;12899.0
limousine;27999.0
limousine;1150.0
limousine;16000.0
limousine;4150.0
kleinwagen;4350.0
kleinwagen;1400.0
limousine;1100.0
bus;23850.0
kleinwagen;9999.0
kleinwagen;6200.0
;3500.0
limousine;7700.0
limousine;1350.0
kleinwagen;2999.0
limousine;12200.0
;1000.0
kleinwagen;3500.0
kombi;2600.0
kombi;16400.0
kleinwagen;1700.0
kombi;26000.0
